event_id,timestamp,date,category,channel,user_id,amount
e0000571,2024-01-01T00:01:08,2024-01-01,purchase,api,u0144,45.31
e0000213,2024-01-01T00:03:01,2024-01-01,purchase,web,u0033,22.25
e0000361,2024-01-01T00:05:11,2024-01-01,support_ticket,api,u0061,0.0
e0000506,2024-01-01T00:09:34,2024-01-01,support_ticket,web,u0195,0.0
e0000098,2024-01-01T00:11:47,2024-01-01,purchase,api,u0204,80.0
e0000498,2024-01-01T00:13:15,2024-01-01,support_ticket,web,u0074,0.0
e0000011,2024-01-01T00:14:29,2024-01-01,support_ticket,web,u0192,0.0
e0000038,2024-01-01T00:17:27,2024-01-01,purchase,web,u0434,89.75
e0000554,2024-01-01T00:18:35,2024-01-01,purchase,partner,u0370,78.14
e0000317,2024-01-01T00:20:58,2024-01-01,signup,mobile,u0298,0.0
e0000254,2024-01-01T00:21:37,2024-01-01,purchase,web,u0185,64.79
e0000198,2024-01-01T00:22:44,2024-01-01,signup,partner,u0310,0.0
e0000262,2024-01-01T00:24:58,2024-01-01,support_ticket,api,u0369,0.0
e0000056,2024-01-01T00:28:28,2024-01-01,signup,web,u0437,0.0
e0000561,2024-01-01T00:33:01,2024-01-01,signup,web,u0231,0.0
e0000285,2024-01-01T00:34:26,2024-01-01,purchase,mobile,u0129,49.26
e0000025,2024-01-01T00:43:32,2024-01-01,support_ticket,mobile,u0439,0.0
e0000229,2024-01-01T00:45:46,2024-01-01,signup,web,u0345,0.0
e0000079,2024-01-01T00:45:53,2024-01-01,signup,api,u0073,0.0
e0000247,2024-01-01T00:47:59,2024-01-01,purchase,partner,u0495,45.84
e0000524,2024-01-01T00:49:53,2024-01-01,signup,mobile,u0478,0.0
e0000095,2024-01-01T00:51:57,2024-01-01,signup,mobile,u0167,0.0
e0000365,2024-01-01T00:54:47,2024-01-01,support_ticket,mobile,u0081,0.0
e0000013,2024-01-01T00:55:07,2024-01-01,purchase,web,u0108,39.19
e0000071,2024-01-01T00:59:10,2024-01-01,purchase,partner,u0071,39.99
e0000042,2024-01-01T00:59:30,2024-01-01,support_ticket,api,u0223,0.0
e0000531,2024-01-01T01:05:54,2024-01-01,signup,web,u0409,0.0
e0000036,2024-01-01T01:06:15,2024-01-01,purchase,mobile,u0395,25.26
e0000443,2024-01-01T01:08:30,2024-01-01,signup,partner,u0454,0.0
e0000513,2024-01-01T01:09:53,2024-01-01,support_ticket,partner,u0332,0.0
e0000106,2024-01-01T01:10:31,2024-01-01,support_ticket,partner,u0275,0.0
e0000566,2024-01-01T01:13:44,2024-01-01,purchase,mobile,u0145,80.02
e0000190,2024-01-01T01:19:22,2024-01-01,purchase,web,u0145,85.08
e0000541,2024-01-01T01:20:24,2024-01-01,support_ticket,partner,u0182,0.0
e0000105,2024-01-01T01:29:39,2024-01-01,signup,partner,u0292,0.0
e0000363,2024-01-01T01:33:30,2024-01-01,purchase,api,u0341,26.84
e0000314,2024-01-01T01:34:28,2024-01-01,signup,web,u0206,0.0
e0000372,2024-01-01T01:41:00,2024-01-01,purchase,api,u0287,44.78
e0000381,2024-01-01T01:42:35,2024-01-01,support_ticket,api,u0289,0.0
e0000505,2024-01-01T01:43:09,2024-01-01,purchase,mobile,u0428,78.85
e0000192,2024-01-01T01:48:16,2024-01-01,support_ticket,mobile,u0131,0.0
e0000196,2024-01-01T01:50:27,2024-01-01,support_ticket,mobile,u0226,0.0
e0000193,2024-01-01T01:50:48,2024-01-01,purchase,web,u0261,66.31
e0000085,2024-01-01T01:53:16,2024-01-01,purchase,api,u0323,76.36
e0000064,2024-01-01T01:56:20,2024-01-01,support_ticket,partner,u0139,0.0
e0000354,2024-01-01T02:06:15,2024-01-01,purchase,partner,u0059,86.11
e0000121,2024-01-01T02:08:33,2024-01-01,purchase,mobile,u0079,19.8
e0000479,2024-01-01T02:12:17,2024-01-01,purchase,partner,u0167,79.26
e0000478,2024-01-01T02:14:52,2024-01-01,purchase,web,u0330,65.15
e0000461,2024-01-01T02:17:51,2024-01-01,signup,partner,u0145,0.0
e0000421,2024-01-01T02:19:01,2024-01-01,support_ticket,web,u0267,0.0
e0000379,2024-01-01T02:20:55,2024-01-01,purchase,mobile,u0350,27.45
e0000511,2024-01-01T02:24:11,2024-01-01,signup,mobile,u0470,0.0
e0000339,2024-01-01T02:24:57,2024-01-01,support_ticket,partner,u0317,0.0
e0000101,2024-01-01T02:26:39,2024-01-01,purchase,api,u0145,68.76
e0000220,2024-01-01T02:28:09,2024-01-01,purchase,api,u0369,31.44
e0000464,2024-01-01T02:28:50,2024-01-01,refund,partner,u0006,-33.32
e0000116,2024-01-01T02:31:11,2024-01-01,purchase,web,u0059,65.58
e0000396,2024-01-01T02:36:10,2024-01-01,purchase,partner,u0379,73.49
e0000413,2024-01-01T02:36:34,2024-01-01,purchase,web,u0109,83.6
e0000320,2024-01-01T02:36:58,2024-01-01,refund,api,u0367,-23.98
e0000460,2024-01-01T02:40:45,2024-01-01,refund,api,u0091,-46.47
e0000528,2024-01-01T02:42:34,2024-01-01,signup,mobile,u0168,0.0
e0000290,2024-01-01T02:42:47,2024-01-01,purchase,api,u0037,70.6
e0000216,2024-01-01T02:45:27,2024-01-01,purchase,web,u0348,27.42
e0000076,2024-01-01T02:51:33,2024-01-01,signup,partner,u0140,0.0
